timestamp,station_id,cycliste_id,velo_id,velo_performance,action
timestamp,station_id,cycliste_id,velo_id,velo_performance,action
timestamp,station_id,performance
2018-01-01 02:39:00,6,4901,velo_47,0.85,donner
2018-01-01 02:39:00,6,1
2018-01-01 03:16:00,6,1
reparee
2018-01-01 05:45:00,6,2247,velo_32,0.85,donner
2018-01-01 05:45:00,6,1
2018-01-01 09:43:00,6,4053,velo_2941,0.85,recuperer
2018-01-01 09:43:00,6,1
2018-01-01 14:05:00,6,4053,velo_2941,0.831670087815124,donner
2018-01-01 14:05:00,6,1
2018-01-01 19:52:00,6,2247,velo_23433,0.5852691999501283,recuperer
2018-01-01 19:52:00,6,1
2018-01-02 05:45:00,6,2247,velo_38,0.85,donner
2018-01-02 05:45:00,6,1
2018-01-02 09:43:00,6,4053,velo_2945,0.7771642204770023,recuperer
2018-01-02 09:43:00,6,1
2018-01-02 14:05:00,6,4053,velo_42,0.85,donner
2018-01-02 14:05:00,6,1
2018-01-02 19:44:00,6,2247,velo_38,0.85,recuperer
2018-01-02 19:44:00,6,1
2018-01-03 05:45:00,6,2247,velo_31,0.85,donner
2018-01-03 05:45:00,6,1
2018-01-03 19:44:00,6,2247,velo_31,0.85,recuperer
2018-01-03 19:44:00,6,1
2018-01-04 05:45:00,6,2247,velo_38,0.85,donner
2018-01-04 05:45:00,6,1
2018-01-04 09:45:00,6,4053,velo_5340,0.5309361224257114,recuperer
2018-01-04 09:45:00,6,1
2018-01-04 14:05:00,6,4053,velo_31,0.85,donner
2018-01-04 14:05:00,6,1
2018-01-04 20:51:00,6,2247,velo_2951,0.6765753439089233,recuperer
2018-01-04 20:51:00,6,1
2018-01-05 05:45:00,6,2247,velo_36,0.85,donner
2018-01-05 05:45:00,6,1
2018-01-05 09:44:00,6,4053,velo_2936,0.6676925507238703,recuperer
2018-01-05 09:44:00,6,1
2018-01-05 14:05:00,6,4053,velo_40,0.85,donner
2018-01-05 14:05:00,6,1
2018-01-05 20:08:00,6,2247,velo_3601,0.497077250850885,recuperer
2018-01-05 20:08:00,6,1
2018-01-06 09:46:00,6,4053,velo_2939,0.5166298448526485,recuperer
2018-01-06 09:46:00,6,1
2018-01-06 14:05:00,6,4053,velo_35,0.85,donner
2018-01-06 14:05:00,6,1
en panne
2018-01-07 10:20:00,6,1
reparee
2018-01-07 14:05:00,6,4053,velo_23433,0.47352621280250723,donner
2018-01-07 14:05:00,6,1
2018-01-08 05:45:00,6,2247,velo_2939,0.47763764203008124,donner
2018-01-08 05:45:00,6,1
2018-01-08 10:58:00,6,4053,velo_2430,0.5301313263916971,recuperer
2018-01-08 10:58:00,6,1
2018-01-08 14:05:00,6,4053,velo_44,0.85,donner
2018-01-08 14:05:00,6,1
2018-01-08 19:48:00,6,2247,velo_194,0.7830631310738978,recuperer
2018-01-08 19:48:00,6,1
2018-01-09 05:45:00,6,2247,velo_34,0.85,donner
2018-01-09 05:45:00,6,1
2018-01-09 09:58:00,6,4053,velo_615,0.7455068060301627,recuperer
2018-01-09 09:58:00,6,1
2018-01-09 14:05:00,6,4053,velo_2936,0.6559718356735178,donner
2018-01-09 14:05:00,6,1
2018-01-09 20:21:00,6,2247,velo_335,0.8111571623970742,recuperer
2018-01-09 20:21:00,6,1
2018-01-10 05:45:00,6,2247,velo_5340,0.45481319458954783,donner
2018-01-10 05:45:00,6,1
2018-01-10 20:04:00,6,2247,velo_430,0.7722944655613164,recuperer
2018-01-10 20:04:00,6,1
2018-01-11 05:45:00,6,2247,velo_43,0.85,donner
2018-01-11 05:45:00,6,1
2018-01-11 10:07:00,6,4053,velo_583,0.7418572911788143,recuperer
2018-01-11 10:07:00,6,1
2018-01-11 14:05:00,6,4053,velo_615,0.7387000398102439,donner
2018-01-11 14:05:00,6,1
2018-01-11 21:23:00,6,2247,velo_2275,0.62753201377282,recuperer
2018-01-11 21:23:00,6,1
2018-01-12 05:45:00,6,2247,velo_335,0.8092399211981088,donner
2018-01-12 05:45:00,6,1
2018-01-12 10:10:00,6,4053,velo_2061,0.5606927916095045,recuperer
2018-01-12 10:10:00,6,1
2018-01-12 14:05:00,6,4053,velo_430,0.7692637460500971,donner
2018-01-12 14:05:00,6,1
2018-01-12 21:15:00,6,2247,velo_1214,0.5726110007104045,recuperer
2018-01-12 21:15:00,6,1
2018-01-13 14:05:00,6,4053,velo_3601,0.4412683314678049,donner
2018-01-13 14:05:00,6,1
2018-01-13 17:24:00,6,1
reparee
