timestamp,station_id,cycliste_id,velo_id,velo_performance,action
timestamp,station_id,cycliste_id,velo_id,velo_performance,action
timestamp,station_id,performance
2018-01-01 08:10:00,13,1
reparee
2018-01-01 10:02:00,13,760,velo_150,0.85,donner
2018-01-01 10:02:00,13,1
2018-01-02 03:44:00,13,760,velo_13483,0.7079478443850058,recuperer
2018-01-02 03:44:00,13,1
2018-01-02 05:51:00,13,5278,velo_23728,0.5489200584014898,recuperer
2018-01-02 05:51:00,13,1
2018-01-02 12:49:00,13,5278,velo_13483,0.6263381899333713,donner
2018-01-02 12:49:00,13,1
2018-01-03 05:40:00,13,5278,velo_3370,0.7078340296069183,recuperer
2018-01-03 05:40:00,13,1
2018-01-03 10:02:00,13,760,velo_3370,0.6540861108411449,donner
2018-01-03 10:02:00,13,1
2018-01-03 12:49:00,13,5278,velo_151,0.85,donner
2018-01-03 12:49:00,13,1
2018-01-04 05:35:00,13,5278,velo_151,0.85,recuperer
2018-01-04 05:35:00,13,1
2018-01-04 08:06:00,13,760,velo_13504,0.41329618264443296,recuperer
2018-01-04 08:06:00,13,1
2018-01-04 12:49:00,13,5278,velo_23728,0.1258084104580094,donner
2018-01-04 12:49:00,13,1
2018-01-04 12:49:00,13,5278,velo_13504,0.24934845383022494,donner
2018-01-04 12:49:00,13,1
2018-01-04 12:49:00,13,5278,velo_151,0.85,donner
2018-01-04 12:49:00,13,1
2018-01-04 12:49:00,13,5278,velo_23728,0.1258084104580094,recuperer
2018-01-04 12:49:00,13,1
2018-01-04 12:49:00,13,5278,velo_13504,0.24934845383022494,recuperer
2018-01-04 12:49:00,13,1
2018-01-05 10:02:00,13,760,velo_13504,0.039703631020086366,donner
2018-01-05 10:02:00,13,1
2018-01-05 10:02:00,13,760,velo_23728,0.08595085792487939,donner
2018-01-05 10:02:00,13,1
2018-01-05 10:02:00,13,760,velo_13504,0.039703631020086366,recuperer
2018-01-05 10:02:00,13,1
2018-01-05 10:02:00,13,760,velo_23728,0.08595085792487939,recuperer
2018-01-05 10:02:00,13,1
2018-01-05 12:49:00,13,5278,velo_13504,-0.11751363751225047,donner
2018-01-05 12:49:00,13,1
2018-01-05 12:49:00,13,5278,velo_23728,-0.13152440944549423,donner
2018-01-05 12:49:00,13,1
2018-01-05 12:49:00,13,5278,velo_13504,-0.11751363751225047,recuperer
2018-01-05 12:49:00,13,1
2018-01-05 12:49:00,13,5278,velo_23728,-0.13152440944549423,recuperer
